    0.17608E+00   0.13475E+02   0.45423E-02   0.13653E-04   0.12166E-02   0.11953E-02   0.21290E-04
    0.18827E+00   0.14407E+02   0.46907E-02   0.13643E-04   0.12140E-02   0.11940E-02   0.20003E-04
    0.20129E+00   0.15404E+02   0.48382E-02   0.13632E-04   0.12119E-02   0.11931E-02   0.18856E-04
    0.21521E+00   0.16469E+02   0.49837E-02   0.13621E-04   0.12068E-02   0.11890E-02   0.17822E-04
    0.23010E+00   0.17608E+02   0.51267E-02   0.13610E-04   0.12028E-02   0.11859E-02   0.16879E-04
    0.24601E+00   0.18826E+02   0.52659E-02   0.13598E-04   0.12013E-02   0.11853E-02   0.16033E-04
    0.26302E+00   0.20127E+02   0.54004E-02   0.13587E-04   0.11990E-02   0.11837E-02   0.15291E-04
    0.28120E+00   0.21518E+02   0.55287E-02   0.13574E-04   0.11955E-02   0.11808E-02   0.14629E-04
    0.30064E+00   0.23006E+02   0.56495E-02   0.13562E-04   0.11923E-02   0.11782E-02   0.14060E-04
    0.32141E+00   0.24595E+02   0.57609E-02   0.13549E-04   0.11894E-02   0.11758E-02   0.13596E-04
    0.34361E+00   0.26295E+02   0.58610E-02   0.13536E-04   0.11859E-02   0.11727E-02   0.13206E-04
    0.36736E+00   0.28111E+02   0.59477E-02   0.13522E-04   0.11838E-02   0.11709E-02   0.12907E-04
    0.39274E+00   0.30054E+02   0.60182E-02   0.13507E-04   0.11822E-02   0.11695E-02   0.12703E-04
    0.41987E+00   0.32130E+02   0.60695E-02   0.13493E-04   0.11796E-02   0.11670E-02   0.12586E-04
    0.44884E+00   0.34347E+02   0.60982E-02   0.13477E-04   0.11775E-02   0.11649E-02   0.12568E-04
    0.47985E+00   0.36720E+02   0.61003E-02   0.13461E-04   0.11750E-02   0.11623E-02   0.12671E-04
    0.51298E+00   0.39255E+02   0.60710E-02   0.13444E-04   0.11724E-02   0.11595E-02   0.12899E-04
    0.54842E+00   0.41967E+02   0.60047E-02   0.13427E-04   0.11705E-02   0.11572E-02   0.13260E-04
    0.58629E+00   0.44865E+02   0.58948E-02   0.13409E-04   0.11684E-02   0.11546E-02   0.13787E-04
    0.62674E+00   0.47961E+02   0.57331E-02   0.13390E-04   0.11675E-02   0.11530E-02   0.14514E-04
    0.67003E+00   0.51273E+02   0.55096E-02   0.13371E-04   0.11686E-02   0.11531E-02   0.15487E-04
    0.71625E+00   0.54810E+02   0.52120E-02   0.13351E-04   0.11726E-02   0.11558E-02   0.16788E-04
    0.76572E+00   0.58596E+02   0.48233E-02   0.13330E-04   0.11819E-02   0.11633E-02   0.18546E-04
