   0.40144268E-01  0.41670050E-01  0.50817225E-01  0.63502647E-01  0.12624332E+01  0.23160650E+00  0.29730302E+00  0.41670050E-01  0.17186667E-05  0.16400615E-01  0.30744821E-04
   0.42955149E-01  0.39457906E-01  0.51012453E-01  0.79666972E-01  0.14540356E+01  0.22752306E+00  0.29119655E+00  0.39457906E-01  0.17072941E-05  0.14033513E-01  0.29872159E-04
   0.45958132E-01  0.37603810E-01  0.51541429E-01  0.99305950E-01  0.16633823E+01  0.22394012E+00  0.28600258E+00  0.37603810E-01  0.16952009E-05  0.11848443E-01  0.28893997E-04
   0.49164969E-01  0.36093645E-01  0.52415464E-01  0.12305629E+00  0.18911260E+01  0.22096153E+00  0.28165624E+00  0.36093645E-01  0.16823845E-05  0.98239798E-02  0.27812042E-04
   0.52599184E-01  0.34916803E-01  0.53656414E-01  0.15163551E+00  0.21370862E+01  0.21871385E+00  0.27808574E+00  0.34916803E-01  0.16687642E-05  0.79372311E-02  0.26625408E-04
   0.56264702E-01  0.34076314E-01  0.55282656E-01  0.18542874E+00  0.23964422E+01  0.21736774E+00  0.27524424E+00  0.34076314E-01  0.16543141E-05  0.61827400E-02  0.25343621E-04
   0.60188964E-01  0.33580836E-01  0.57338983E-01  0.22460099E+00  0.26611953E+01  0.21710163E+00  0.27306408E+00  0.33580836E-01  0.16389707E-05  0.45483145E-02  0.23972909E-04
   0.64379804E-01  0.33462599E-01  0.59891801E-01  0.26841193E+00  0.29162552E+01  0.21809781E+00  0.27148929E+00  0.33462599E-01  0.16226116E-05  0.30365791E-02  0.22530496E-04
   0.68860747E-01  0.33711195E-01  0.62927119E-01  0.31519356E+00  0.31413779E+01  0.22050162E+00  0.27045134E+00  0.33711195E-01  0.16050778E-05  0.16499077E-02  0.21035759E-04
   0.73647484E-01  0.34263063E-01  0.66313036E-01  0.36224657E+00  0.33145463E+01  0.22438329E+00  0.26988024E+00  0.34263063E-01  0.15864638E-05  0.39943290E-03  0.19520077E-04
   0.78767441E-01  0.35009656E-01  0.69829285E-01  0.40656820E+00  0.34192882E+01  0.22972660E+00  0.26970163E+00  0.35009656E-01  0.15663776E-05 -0.70594839E-03  0.18009356E-04
   0.84244154E-01  0.35826042E-01  0.73216833E-01  0.44544762E+00  0.34489746E+01  0.23641913E+00  0.26984182E+00  0.35826042E-01  0.15448844E-05 -0.16559749E-02  0.16536884E-04
   0.90093300E-01  0.36689542E-01  0.76418586E-01  0.47727841E+00  0.34095724E+01  0.24426685E+00  0.27022895E+00  0.36689542E-01  0.15218901E-05 -0.24423022E-02  0.15130008E-04
   0.96346252E-01  0.37669022E-01  0.79566300E-01  0.50178480E+00  0.33153110E+01  0.25306514E+00  0.27079728E+00  0.37669022E-01  0.14966547E-05 -0.30628149E-02  0.13798800E-04
   0.10303434E+00  0.38854830E-01  0.82835414E-01  0.51957089E+00  0.31830194E+01  0.26261458E+00  0.27148840E+00  0.38854830E-01  0.14697209E-05 -0.35187255E-02  0.12559018E-04
   0.11018112E+00  0.40299274E-01  0.86325966E-01  0.53163874E+00  0.30280771E+01  0.27272972E+00  0.27225003E+00  0.40299274E-01  0.14410855E-05 -0.38121953E-02  0.11414825E-04
   0.11781794E+00  0.42035133E-01  0.90101354E-01  0.53910255E+00  0.28623974E+01  0.28326991E+00  0.27303740E+00  0.42035133E-01  0.14102543E-05 -0.39455835E-02  0.10360555E-04
   0.12598401E+00  0.44052847E-01  0.94141372E-01  0.54288149E+00  0.26937718E+01  0.29413545E+00  0.27381203E+00  0.44052847E-01  0.13777822E-05 -0.39227721E-02  0.93948438E-05
   0.13471460E+00  0.46320170E-01  0.98380417E-01  0.54363614E+00  0.25269463E+01  0.30524200E+00  0.27453929E+00  0.46320170E-01  0.13430823E-05 -0.37462052E-02  0.85069150E-05
   0.14404501E+00  0.48844352E-01  0.10283208E+00  0.54192680E+00  0.23650382E+01  0.31651998E+00  0.27518797E+00  0.48844352E-01  0.13061563E-05 -0.34163492E-02  0.76912911E-05
   0.15402228E+00  0.51606808E-01  0.10745745E+00  0.53805369E+00  0.22091517E+01  0.32792142E+00  0.27573019E+00  0.51606808E-01  0.12667465E-05 -0.29323783E-02  0.69399607E-05
   0.16468559E+00  0.54619987E-01  0.11228094E+00  0.53228778E+00  0.20601037E+01  0.33939111E+00  0.27613920E+00  0.54619987E-01  0.12243736E-05 -0.22957369E-02  0.62449244E-05
   0.17608202E+00  0.57852272E-01  0.11723964E+00  0.52473593E+00  0.19177991E+01  0.35088152E+00  0.27638999E+00  0.57852272E-01  0.11793363E-05 -0.15086798E-02  0.56028093E-05
   0.18826644E+00  0.61292037E-01  0.12230930E+00  0.51547849E+00  0.17819809E+01  0.36234695E+00  0.27645838E+00  0.61292037E-01  0.11312588E-05 -0.56966481E-03  0.50071517E-05
   0.20129372E+00  0.64955585E-01  0.12752360E+00  0.50460666E+00  0.16524737E+01  0.37373465E+00  0.27632055E+00  0.64955585E-01  0.10797841E-05  0.52145583E-03  0.44523354E-05
   0.21521483E+00  0.68804182E-01  0.13280883E+00  0.49205521E+00  0.15286603E+01  0.38497990E+00  0.27595285E+00  0.68804182E-01  0.10251737E-05  0.17618563E-02  0.39369143E-05
   0.23010038E+00  0.72838038E-01  0.13816862E+00  0.47782075E+00  0.14101104E+01  0.39602140E+00  0.27533132E+00  0.72838038E-01  0.96683891E-06  0.31506282E-02  0.34560062E-05
   0.24600910E+00  0.77055432E-01  0.14360929E+00  0.46193531E+00  0.12966328E+01  0.40677753E+00  0.27443203E+00  0.77055432E-01  0.90427034E-06  0.46822070E-02  0.30055598E-05
   0.26301947E+00  0.81386313E-01  0.14900061E+00  0.44426307E+00  0.11875391E+01  0.41716561E+00  0.27322999E+00  0.81386313E-01  0.83754918E-06  0.63512898E-02  0.25844074E-05
   0.28119805E+00  0.85823953E-01  0.15434647E+00  0.42484561E+00  0.10827591E+01  0.42707860E+00  0.27170059E+00  0.85823953E-01  0.76648138E-06  0.81497272E-02  0.21911451E-05
   0.30063510E+00  0.90336844E-01  0.15960342E+00  0.40365070E+00  0.98198575E+00  0.43640655E+00  0.26981699E+00  0.90336844E-01  0.69051333E-06  0.10067166E-01  0.18235808E-05
   0.32140896E+00  0.94881766E-01  0.16471496E+00  0.38066813E+00  0.88504481E+00  0.44501337E+00  0.26755303E+00  0.94881766E-01  0.60908252E-06  0.12088879E-01  0.14802451E-05
   0.34361377E+00  0.99406905E-01  0.16961332E+00  0.35588780E+00  0.79175103E+00  0.45274901E+00  0.26488048E+00  0.99406905E-01  0.52226056E-06  0.14195290E-01  0.11619934E-05
   0.36735535E+00  0.10382754E+00  0.17417358E+00  0.32927999E+00  0.70188415E+00  0.45944116E+00  0.26176912E+00  0.10382754E+00  0.42960198E-06  0.16364153E-01  0.86893186E-06
   0.39273956E+00  0.10804512E+00  0.17825654E+00  0.30085713E+00  0.61533248E+00  0.46488699E+00  0.25818780E+00  0.10804512E+00  0.33032438E-06  0.18565783E-01  0.60132118E-06
